# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# Arctan_1/2 individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: rt value [kpc].
# 3rd column: normalized scale radius (rtn = rt / rmax).
# 4th column: Vc value [km/s].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rt                 	rtn                  	Vc                	YD                 	YB                 	Chi2                	Chi2eff            	N.Data
NGC3109    	500.               	77.51937984496124    	656.2446365885545 	0.4181336423644767 	--                 	192.89047329075706  	193.4935015274035  	25    
NGC3198    	6.6858910285160915 	0.15167629375036507  	142.4628416993532 	0.524134386335259  	--                 	61.629161222344834  	61.6710741564314   	43    
NGC3521    	52.3942957188749   	2.9534552265431175   	383.2635418641242 	0.5449270918040426 	--                 	8.919674935916042   	9.059314635303863  	41    
NGC3726    	499.99999999972135 	15.375153751528945   	707.3619726993498 	0.5474814468063056 	--                 	18.83024089086784   	18.985472178199664 	12    
NGC3741    	6.3419060516534405 	0.9059865788076343   	69.3782369862266  	0.5049854525927333 	--                 	6.095732161305093   	6.097588791332745  	21    
NGC3769    	4.989104113517045  	0.1342600676403941   	117.60130246884518	0.3967995777606863 	--                 	7.093685100747768   	8.101677064965079  	12    
NGC3877    	3.48005824950679   	0.3066130616305542   	150.80241902219294	0.29962103978044613	--                 	44.82335682518323   	49.769430411067894 	13    
NGC3893    	4.585910103889619  	0.2407301891805574   	170.524540938846  	0.41777905464504705	--                 	5.1692001592518935  	5.777964341164465  	10    
NGC3917    	13.336619157848025 	0.8974844655348604   	141.82311581189964	0.8543235718241987 	--                 	42.87321266349256   	48.2859258836488   	17    
NGC3949    	338.4505964507364  	47.871371492324805   	1000.             	0.4469597507334597 	--                 	1.5376111392857224  	1.7747956084797802 	7     
NGC3953    	2.8394518682104724 	0.18108749159505563  	157.1989709923219 	0.49363332331950993	--                 	1.724980388069468   	1.7280779057665514 	8     
NGC3972    	9.842011093918362  	1.1286709970089863   	168.93335687378365	0.45887055693294343	--                 	8.495063216409548   	8.634041654014007  	10    
NGC3992    	2.9581621563449767 	0.06427992517046885  	208.13766742672846	0.5613993911903757 	--                 	2.90904887735449    	3.162077323627292  	9     
NGC4010    	17.94222438247283  	1.713679501668847    	187.0962106895076 	0.42033455298438654	--                 	20.78787304519537   	21.35601078597007  	12    
NGC4013    	53.32981584087058  	1.7197618781319117   	272.05782079571287	0.5967581995452846 	0.7008796681841796 	24.802086027672495  	25.84786604781264  	36    
NGC4051    	2.9783410778248034 	0.24432658554756387  	103.54547557091968	0.458237589372289  	--                 	3.618748484382621   	3.7622325660010474 	7     
NGC4068    	499.9999999987911  	214.59227467759277   	509.6795479081725 	0.47226738615737485	--                 	7.276280547642167   	7.337695544063203  	6     
NGC4085    	345.9381924128091  	55.79648264722727    	1000.             	0.32716388953680164	--                 	20.482159363691206  	23.87529436281857  	7     
NGC4088    	499.99999999984493 	23.277467411538403   	786.5820322311303 	0.3908396279148842 	--                 	4.149251136907777   	5.2935394606398525 	12    
NGC4100    	3.3546079034155554 	0.14739050542247606  	148.56162925741378	0.5764657290063661 	--                 	23.26657824629131   	23.648545373715415 	24    
NGC4138    	1.6096311801275311 	0.08663246394658404  	129.1573660990959 	0.5496980860742611 	0.5868347090572198 	5.320579085525829   	5.499230276420857  	7     
NGC4157    	38.98392720988433  	1.3165797774361476   	248.17159528343467	0.49051542716665847	0.5550613825238824 	4.966767736166753   	5.08799875448365   	17    
NGC4183    	3.2148840015337274 	0.15294405335555317  	100.92998741142179	0.5245202560457408 	--                 	2.8147736215709447  	2.8580054300064397 	23    
