# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# MOND_dist individual fits for 153 SPARC galaxies with Gaussian priors on YD, YB and on the distance.
# 1st column: galaxy name.
# 2nd column: stellar disk mass-to-light ratio (YD).
# 3rd column: stellar bulge mass-to-light ratio (YB).
# 4th column: multiplicative factor that changes the galaxy distance.
# 4th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 5th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 6th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	YD                 	YB                 	deltaD             	Chi2              	Chi2eff           	N.Data
UGC04325   	0.9991948558105133 	--                 	1.068737336787077  	50.663494908501065	59.75685029855091 	8     
UGC04483   	0.42803407927310305	--                 	0.6910591031284883 	4.822846785014001 	16.357864001226794	8     
UGC04499   	0.5355937224518988 	--                 	0.7716673562435763 	9.353040373034888 	10.021521649981747	9     
UGC05005   	0.4369372826157362 	--                 	0.7387103275667067 	2.185260714306264 	4.247673866224823 	11    
UGC05253   	0.5813649205951714 	0.6635645501713402 	1.0165317146503026 	328.60242949393955	329.22680560921714	73    
UGC05414   	0.4133768310123669 	--                 	0.785885577027394  	3.709078887956416 	4.901138057414595 	6     
UGC05716   	1.394232598342156  	--                 	0.7526897603255011 	51.45104172321578 	72.27391188777051 	12    
UGC05721   	0.6544750727160198 	--                 	1.4752547716242947 	36.305267372788485	40.19286726466156 	23    
UGC05750   	0.48135424727008486	--                 	0.7017222201975304 	6.445612425823082 	8.712329905702186 	11    
UGC05764   	3.773683998851977  	--                 	0.954672471741608  	107.24559778367056	184.32094544099976	10    
UGC05829   	0.6115986838386648 	--                 	0.7255868004267788 	3.9348223394999433	5.53837504625502  	11    
UGC05918   	0.5494566981032466 	--                 	0.8454078959433253 	5.172154913611173 	5.605035189745271 	8     
UGC05986   	0.3376846792621094 	--                 	1.6380364705177495 	38.49991114577705 	45.92526221617883 	15    
UGC06399   	0.5409782042376065 	--                 	1.0531962709990474 	2.6857272116917934	2.949457078225973 	9     
UGC06446   	1.0466102590059767 	--                 	0.9766903062477744 	13.706036959269506	24.004299428642703	17    
UGC06614   	0.4640616000275251 	0.4187585197543302 	0.9332837176471593 	8.990937040278657 	11.980439267014505	13    
UGC06667   	1.105123976723093  	--                 	1.314366582244762  	32.984605129490845	49.97172306062013 	9     
UGC06786   	0.2744417950104914 	0.3399050929300804 	2.059895232132569  	57.64015960646053 	88.51653036891474 	45    
UGC06787   	0.44097275900804633	0.28110047794397974	1.8733815693902633 	1361.8848482513777	1385.253354717592 	71    
UGC06818   	0.3149987916017374 	--                 	0.8674253101221779 	25.384423398591473	30.322054118307175	8     
UGC06917   	0.5475950460278483 	--                 	1.0169843828871716 	10.268389873102677	10.439286229457164	11    
