# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# MOND individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: stellar disk mass-to-light ratio (YD).
# 3rd column: stellar bulge mass-to-light ratio (YB).
# 4th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 5th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 6th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	YD                  	YB                 	Chi2              	Chi2eff           	N.Data
NGC4157    	0.33708539764104345 	0.5607759728783474 	10.624688964310236	13.642874314413202	17    
NGC4183    	0.37858014529884976 	--                 	59.1076044977875  	60.56716255816575 	23    
NGC4217    	1.1102229732009412  	0.19490116695024146	37.81938975618787 	73.66875543938065 	19    
NGC4559    	0.26070399369404074 	--                 	50.37749759427906 	58.3763440751911  	32    
NGC5005    	0.5279218889355674  	0.5273699978628947 	1.03631651577     	1.406012373126367 	18    
NGC5033    	0.6668115700154972  	0.4332115464639737 	174.4927917801495 	178.056964911338  	22    
NGC5055    	0.3342623656334242  	--                 	1285.5271836981287	1288.5855733448716	28    
NGC5371    	0.29559330883442286 	--                 	986.5640688017736 	991.7750348710674 	19    
NGC5585    	0.2930137200561665  	--                 	170.5163380788813 	175.9025457852123 	24    
NGC5907    	0.4390981978734634  	--                 	484.0187249684118 	484.33691515931497	19    
NGC5985    	0.8340716726289762  	4.125069405184592  	194.74392539312313	269.78647380407625	33    
NGC6015    	0.6549668624721546  	--                 	612.6094528817321 	613.9841932661517 	44    
NGC6195    	0.19167821769389493 	0.6794879570111635 	41.1888994917783  	58.81949543367586 	23    
NGC6503    	0.49013427178419594 	--                 	82.8057576164898  	82.81324840383957 	31    
NGC6674    	0.5011411957113534  	1.801448536785939  	154.08352664792767	176.88144296805186	15    
NGC6789    	0.8111340311504146  	--                 	15.265187837758452	19.680339309209348	4     
NGC6946    	0.39529677184905065 	0.5722426210508106 	114.15880191872745	115.24247237006816	58    
NGC7331    	0.3708040547203053  	0.48519181854710597	47.992948311585785	50.52919596229137 	36    
NGC7793    	0.4601661040946691  	--                 	37.38931955206792 	37.519318587716775	46    
NGC7814    	1.4230855588666103  	0.5482691246924559 	22.873353105397932	43.66199004671735 	18    
UGC00128   	0.5497612541219463  	--                 	2058.6674366054385	2058.8372145905305	22    
UGC00191   	0.34707117014268046 	--                 	191.33753070563012	193.85138738962974	9     
UGC00634   	0.5682220538096255  	--                 	2.759065390366314 	3.0676243228280886	4     
