# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# NFW individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: scale radius (r_s) [kpc].
# 3rd column: normalized scale radius (rsn = rs / rmax).
# 4th column: logarithm of the density rho_s (log rhos) [Msun / kpc^3].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rs                 	rsn                 	log rhos          	YD                 	YB                 	Chi2               	Chi2eff             	N.Data
NGC7331    	43.659353068452056 	1.2024057578752976  	6.344853789186771 	0.3707635903995376 	0.5068923855070164 	25.343446023361995 	27.56648729128219   	36    
NGC7793    	9.199579587703553  	1.168942768450261   	6.9015326460167925	0.5485747969482174 	--                 	38.79682198744207  	38.9589558284448    	46    
NGC7814    	10.567968198534654 	0.5411146030995726  	7.425003992005397 	0.5108470566066995 	0.5407723854505527 	6.514247990618697  	6.72666845879623    	18    
UGC00128   	16.793104210917722 	0.31242984578451577 	6.639653473990169 	0.458347195618309  	--                 	61.61056954358332  	61.75326782345689   	22    
UGC00191   	9.238966469073581  	0.9257481431937455  	6.758929569255375 	0.5961823766388987 	--                 	23.968529098164208 	24.55236460758854   	9     
UGC00634   	21.966016048718124 	1.2196566379077247  	6.35233774422714  	0.4764935104145342 	--                 	6.314127056442125  	6.3578624726463     	4     
UGC00731   	8.22224601202492   	0.7536430808455472  	6.768932308907639 	0.5039966440451529 	--                 	3.3935316502167776 	3.3947271778536043  	12    
UGC00891   	734.797006805171   	99.43125937823694   	4.401060230195293 	0.46585074341976807	--                 	9.0942912351283    	9.188682807303866   	5     
UGC01281   	9993.926165079132  	2002.7908146451164  	3.3230719376982067	0.49126022200607977	--                 	21.312184686992094 	21.318049802450084  	25    
UGC02259   	3.706010898612137  	0.4552838941783952  	7.591063044660719 	0.4922047359738113 	--                 	4.227407623588326  	4.232064616242851   	8     
UGC02487   	14.88632334124453  	0.18519934487738904 	7.532132317795934 	0.7113945382454308 	0.561440103798844  	60.36923170293357  	62.79765332478688   	17    
UGC02885   	65.89547554093244  	0.8896378498843316  	6.154361218075098 	0.4912799391592828 	1.0004752550612797 	12.994770640002349 	17.931455886474332  	19    
UGC02916   	0.06430243311289628	0.001692169292444639	12.165948635267693	2.5900082528442168 	0.17888873147229448	75.290897671734    	153.93999616013184  	43    
UGC02953   	21.47537276426102  	0.3442117769556182  	6.980854101878148 	0.6120678174989672 	0.6444804732666646 	615.3586926309672  	616.2265585741987   	115   
UGC03205   	5.886350331525647  	0.1470117465415996  	7.990024736014094 	0.2218608773607148 	0.5733784611486195 	138.45629321177287 	150.9482254012051   	48    
