# Additional velocity distribution: a fast sample analysis for dark matter or modified gravity models
# by A. Hernandez-Arboleda, D. C. Rodrigues, A. Wojnar
# 
# Table 3 data: Burkert profile results for 153 SPARC galaxies with Gaussian priors on YD and YB.
# First column: galaxy name.
# Second column: best-fit core radius (rc).
# Third column: best-fit of the logarithm of the central halo density (logRhoc).
# Fourth column: best-fit of the stellar disk mass-to-light ratio (YD).
# Fifth column: best-fit of the stellar bulge mass-to-light ratio (YB).
# Sixth column: Minimum chi-squared value (Chi2).
# Seventh column: the number of galaxy data points that were used for the fit (DataPoints).
# 
# Galaxy     	rc                	logRhoc           	YD                 	YB                 	Chi2               	DataPoints
F583-4     	2.4958472725671492	7.650162769572088 	0.5021163724279376 	--                 	4.460838283193981  	12        
IC2574     	15.608215323253967	6.51891479952169  	0.7328299479055365 	--                 	73.04513432355793  	34        
IC4202     	4.264747839047306 	8.376366064171636 	0.2394091703961693 	0.09194738320536328	233.506699315717   	32        
KK98-251   	3.410145016069914 	7.087457206121499 	0.4966376511647005 	--                 	3.926315457060015  	15        
NGC0024    	1.5226261488561699	8.605776438014988 	0.4500750964870065 	--                 	20.918134481261948 	29        
NGC0055    	6.404191522736857 	7.1226688988184215	0.38966901866688947	--                 	7.428389442373085  	21        
NGC0100    	4.68910975587038  	7.447041967774625 	0.4897335221070099 	--                 	1.616310617215536  	21        
NGC0247    	3.1333870479396917	7.615946901822934 	0.8768406720975409 	--                 	98.35612197118576  	26        
NGC0289    	15.311356613063392	6.881961585029831 	0.7593580606993722 	--                 	53.66573741973472  	28        
NGC0300    	3.916901339563081 	7.630080474991451 	0.5579038191394166 	--                 	13.217052406568389 	25        
NGC0801    	38.712612854102225	6.248445915388046 	0.6594082187142919 	--                 	58.21601170379338  	13        
NGC0891    	4.510533310278228 	8.147274422346866 	0.22232121557413956	0.581459405402827  	36.85885448849244  	18        
NGC1003    	13.436483028100431	6.726288838646392 	0.9649302002561789 	--                 	100.99377481770826 	36        
NGC1090    	4.85899930347618  	7.886241432786502 	0.2970437266554911 	--                 	33.041171920467946 	24        
NGC2403    	5.833111854827381 	7.50864146872509  	0.7851195568376182 	--                 	804.2317217404773  	73        
NGC2683    	3.804754843789312 	8.096363447967745 	0.49265772743926955	0.6053992629249683 	6.25986819449998   	11        
NGC2841    	23.235065343746786	6.959077884403391 	1.2772402660182667 	0.9693194688637911 	99.3214393165031   	50        
NGC2903    	4.318880666741115 	8.07873735978693  	0.36744974888162446	--                 	211.00040723218527 	34        
NGC2915    	2.050527145245955 	8.124146204303585 	0.40951285773516966	--                 	14.780293897944363 	30        
NGC2955    	11.395791922685474	7.424870180378239 	0.30559571858413537	0.81095435208933   	74.74036129528682  	24        
NGC2976    	3.357654210978801 	7.934925105593286 	0.48357882754231435	--                 	7.5709402820681975 	27        
NGC2998    	21.136925806964726	6.710547095094144 	0.8379820612709801 	--                 	33.538703531622815 	13        
NGC3109    	4.648505564453386 	7.3287110555396575	0.49749570045046515	--                 	4.069428083186354  	25        
NGC3198    	9.354772148521716 	7.207427693283622 	0.7024186481773232 	--                 	58.44841255851505  	43        
NGC3521    	14.15659900944185 	7.243521789799117 	0.5802661126470936 	--                 	7.5618695475390645 	41        
NGC3726    	38.37196619018167 	6.3873217915912175	0.6358999930815326 	--                 	18.610686461443393 	12        
NGC3741    	2.857940064749803 	7.395071352431711 	0.7769237208068395 	--                 	19.313506747212475 	21        
NGC3769    	5.966907436462623 	7.44454894643649  	0.4419405416503837 	--                 	5.652795133718154  	12        
NGC3877    	2.858997826102123 	8.279689302592226 	0.2729933729181389 	--                 	29.583683558029644 	13        
NGC3893    	4.2917519331287215	8.01205332820796  	0.4407571414364428 	--                 	1.94361603088269   	10        
NGC3917    	4.701062854227285 	7.73247242968435  	0.4387747226234622 	--                 	16.259776860673963 	17        
NGC3949    	999.9999998488117 	7.1682102153662335	0.5308812397641732 	--                 	1.6705024166815774 	7         
NGC3953    	3.3722653820750517	8.227370387857292 	0.46983215372624726	--                 	1.0169806644850135 	8         
NGC3972    	3.7852913455511943	7.878682094681986 	0.44562209075406456	--                 	5.981886601826828  	10        
NGC3992    	6.414781749823853 	8.001728769510118 	0.4398548644649981 	--                 	4.516148983953903  	9         
NGC4010    	6.360570637760418 	7.452732213432302 	0.44306574527138   	--                 	14.210505015413341 	12        
NGC4013    	23.38641142658589 	6.699958557746561 	0.659045031427737  	0.7193195068913665 	28.042342264248454 	36        
NGC4051    	2.9593270926663635	7.9359601090578105	0.4518606115412821 	--                 	2.7736354156478846 	7         
NGC4068    	96.78963166966783 	7.062358258230496 	0.4887245630255008 	--                 	0.8503267590600307 	6         
NGC4085    	5.04806135357998  	7.744265100422505 	0.3324799942890315 	--                 	15.00916215720931  	7         
NGC4088    	53.90975905483583 	6.458988093421415 	0.4458155762161234 	--                 	4.6974032996497375 	12        
NGC4100    	3.4160795771424257	8.227118298406802 	0.4239023550404357 	--                 	12.041873931581629 	24        
NGC4138    	2.324814218878256 	8.43347321681412  	0.49328894849279514	0.5776432610933003 	3.127232530565256  	7         
